id;description;balance;account_type;account_status_type;create_date;closed_date
1;Investor Syrian Arab Republic invoice;45714;CHECKING;ACTIVE;2020-09-05T05:09:57;2020-09-05T11:49:32
2;Frozen Avon extend;77532;CREDIT_CARD;CLOSED;2020-09-04T18:01:53;2020-09-05T06:38:11
3;reboot withdrawal Rustic Frozen Computer;6633;INVESTING;CLOSED;2020-09-05T16:10:03;2020-09-04T20:09:28
4;Concrete Michigan Auto Loan Account;91611;INVESTING;SUESPENDED;2020-09-04T17:07:24;2020-09-05T04:49:08
5;Associate indexing;36359;CREDIT_CARD;ACTIVE;2020-09-05T08:12:59;2020-09-05T06:53:10
6;Outdoors Avon;81748;INVESTING;ACTIVE;2020-09-04T21:42:42;2020-09-05T04:52:21
7;Small Balanced open-source;6806;CHECKING;CLOSED;2020-09-05T13:16:29;2020-09-05T01:04:48
8;Keyboard;19272;INVESTING;ACTIVE;2020-09-05T12:46:31;2020-09-05T05:10:00
9;Investment Account Senior Car;22204;SAVING;SUESPENDED;2020-09-05T01:55:48;2020-09-05T06:18:03
10;initiative Cheese Ramp;44430;CHECKING;CLOSED;2020-09-04T20:08:16;2020-09-05T15:21:04
