id;transaction_date;transaction_amount;new_balance;description
1;2020-09-05T15:36:21;12023;22794;grow workforce Technician
2;2020-09-04T19:23:22;9319;38744;SCSI Administrator
3;2020-09-05T08:43:07;48467;41352;web-readiness Awesome Buckinghamshire
4;2020-09-04T17:51:51;24465;36893;generating
5;2020-09-05T02:52:36;12316;95802;strategize
6;2020-09-05T10:14:52;66464;78714;withdrawal Shirt Assistant
7;2020-09-05T12:58:58;41788;92767;TCP bandwidth Rustic Steel Soap
8;2020-09-05T11:50:18;1249;7666;Small
9;2020-09-05T01:43:14;10980;59194;Bedfordshire
10;2020-09-05T16:39:00;90621;22476;FTP Team-oriented
